name,tag,expected,outcome,wall_ms,verdict,detail
function-call14-pass,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call2,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call2-fail,CORE,^VERIFICATION FAILED$,PASS,57,FAILED,^VERIFICATION FAILED$
function-call3,CORE,^VERIFICATION SUCCESSFUL$,PASS,49,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call4,CORE,^VERIFICATION SUCCESSFUL$,PASS,57,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call5,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call5-fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
function-call6-pass,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call7-pass,CORE,^VERIFICATION SUCCESSFUL$,PASS,54,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call8-fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
function-call8-pass,CORE,^VERIFICATION SUCCESSFUL$,PASS,54,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call9-pass,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-default-function-var,CORE,^VERIFICATION SUCCESSFUL$,DIFF,54,FAILED,expected=^VERIFICATION SUCCESSFUL$
function-default-instance-reuse,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-default-int,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-default-keyword-argument,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-default-missing-arg-fail,CORE,^TypeError: returns\_y\(\) missing 1 required positional argument: \'x\'$,FAIL,54,SUCCESSFUL,expected=^TypeError: returns\_y\(\) missing 1 required positional argument: \'x\'$
function-default-variable,CORE,^VERIFICATION SUCCESSFUL$,PASS,57,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
