# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 35K of event 'cycles:u'
# Event count (approx.): 109739201035
#
# Children      Self  Command  Shared Object            Symbol                                                                                                                                                                                         ...
# ........  ........  .......  .......................  ..................................................................................................................................................................................................
#
     3.89%     0.00%  cbmc     cbmc                     [.] value_set_dereferencet::get_failure_value(exprt const&, typet const&)
     3.88%     0.01%  cbmc     cbmc                     [.] get_fresh_aux_symbol(typet const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::al...
     3.88%     0.00%  cbmc     cbmc                     [.] get_fresh_aux_symbol(typet const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::al...
     3.85%     0.00%  cbmc     cbmc                     [.] get_new_name(dstringt const&, namespacet const&, char)
     3.84%     0.06%  cbmc     cbmc                     [.] symbol_table_baset::next_unused_suffix(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
     3.84%     0.00%  cbmc     cbmc                     [.] namespacet::smallest_unused_suffix(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
     3.80%     1.10%  cbmc     libstdc++.so.6.0.33      [.] std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     3.66%     0.64%  cbmc     cbmc                     [.] simplify_exprt::simplify_node_preorder(exprt const&)
     3.48%     0.00%  cbmc     cbmc                     [.] goto_symext::symex_end_of_function(goto_symex_statet&)
     3.42%     0.24%  cbmc     cbmc                     [.] postprocess_equation(symex_bmct&, symex_target_equationt&, optionst const&, namespacet const&, ui_message_handlert&)
     3.33%     0.00%  cbmc     cbmc                     [.] forward_list_as_mapt<dstringt, irept>::forward_list_as_mapt(forward_list_as_mapt<dstringt, irept> const&) (inlined)
     3.33%     0.00%  cbmc     cbmc                     [.] std::forward_list<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::forward_list(std::forward_list<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, ...
     3.32%     0.00%  cbmc     cbmc                     [.] void std::forward_list<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::_M_range_initialize<std::_Fwd_list_const_iterator<std::pair<dstringt, irept> > >(std::_Fw...
     3.17%     3.17%  cbmc     cbmc                     [.] irept::get(dstringt const&) const
     3.17%     0.47%  cbmc     cbmc                     [.] slice(symex_bmct&, symex_target_equationt&, namespacet const&, optionst const&, ui_message_handlert&)
     3.14%     0.00%  cbmc     cbmc                     [.] std::_Fwd_list_node<std::pair<dstringt, irept> >* std::_Fwd_list_base<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::_M_create_node<std::pair<dstringt, irept> ...
     3.03%     0.03%  cbmc     cbmc                     [.] renamedt<exprt, (levelt)3> goto_symex_statet::rename<(levelt)3>(exprt, namespacet const&)
     2.91%     0.07%  cbmc     cbmc                     [.] value_sett::assign_rec(exprt const&, reference_counting<std::map<unsigned long, std::optional<exprt>, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::optional...
     2.83%     0.00%  cbmc     cbmc                     [.] goto_symext::symex_set_return_value(goto_symex_statet&, exprt const&)
     2.71%     0.42%  cbmc     cbmc                     [.] irept::add(dstringt const&)
     2.70%     0.49%  cbmc     cbmc                     [.] symex_slicet::slice(symex_target_equationt&)
     2.70%     0.00%  cbmc     cbmc                     [.] slice(symex_target_equationt&)
     2.59%     2.59%  cbmc     cbmc                     [.] irept::find(dstringt const&) const
     2.55%     0.00%  cbmc     cbmc                     [.] std::_Fwd_list_base<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::_M_get_node() (inlined)
     2.55%     0.00%  cbmc     cbmc                     [.] std::__new_allocator<std::_Fwd_list_node<std::pair<dstringt, irept> > >::allocate(unsigned long, void const*) (inlined)
     2.55%     0.00%  cbmc     cbmc                     [.] std::allocator_traits<std::allocator<std::_Fwd_list_node<std::pair<dstringt, irept> > > >::allocate(std::allocator<std::_Fwd_list_node<std::pair<dstringt, irept> > >&, unsigned long) (inl...
     2.51%     0.02%  cbmc     cbmc                     [.] goto_symex_statet::l2_thread_write_encoding(ssa_exprt const&, namespacet const&)
     2.49%     0.00%  cbmc     cbmc                     [.] symbol_tablet::~symbol_tablet()
     2.49%     0.00%  cbmc     cbmc                     [.] std::_Hashtable<dstringt, std::pair<dstringt const, symbolt>, std::allocator<std::pair<dstringt const, symbolt> >, std::__detail::_Select1st, std::equal_to<dstringt>, std::hash<dstringt>,...
     2.49%     0.00%  cbmc     cbmc                     [.] std::unordered_map<dstringt, symbolt, std::hash<dstringt>, std::equal_to<dstringt>, std::allocator<std::pair<dstringt const, symbolt> > >::~unordered_map() (inlined)
     2.49%     0.00%  cbmc     cbmc                     [.] std::_Hashtable<dstringt, std::pair<dstringt const, symbolt>, std::allocator<std::pair<dstringt const, symbolt> >, std::__detail::_Select1st, std::equal_to<dstringt>, std::hash<dstringt>,...
     2.49%     0.00%  cbmc     cbmc                     [.] std::_Hashtable<dstringt, std::pair<dstringt const, symbolt>, std::allocator<std::pair<dstringt const, symbolt> >, std::__detail::_Select1st, std::equal_to<dstringt>, std::hash<dstringt>,...
     2.49%     0.00%  cbmc     cbmc                     [.] std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<dstringt const, symbolt>, true> > >::_M_deallocate_buckets(std::__detail::_Hash_node_base**, unsigned lo...
     2.49%     0.00%  cbmc     cbmc                     [.] std::__new_allocator<std::__detail::_Hash_node_base*>::deallocate(std::__detail::_Hash_node_base**, unsigned long) (inlined)
     2.49%     0.00%  cbmc     cbmc                     [.] std::allocator_traits<std::allocator<std::__detail::_Hash_node_base*> >::deallocate(std::allocator<std::__detail::_Hash_node_base*>&, std::__detail::_Hash_node_base**, unsigned long) (inl...
     2.38%     2.34%  cbmc     cbmc                     [.] std::_Hashtable<irept, irept, std::allocator<irept>, std::__detail::_Identity, std::equal_to<irept>, irep_hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std...
     2.31%     0.81%  cbmc     libstdc++.so.6.0.33      [.] std::basic_streambuf<char, std::char_traits<char> >::xsputn(char const*, long)
     2.26%     0.00%  cbmc     cbmc                     [.] std::_Fwd_list_base<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::_M_put_node(std::_Fwd_list_node<std::pair<dstringt, irept> >*) (inlined)
     2.26%     0.00%  cbmc     cbmc                     [.] std::__new_allocator<std::_Fwd_list_node<std::pair<dstringt, irept> > >::deallocate(std::_Fwd_list_node<std::pair<dstringt, irept> >*, unsigned long) (inlined)
     2.26%     0.00%  cbmc     cbmc                     [.] std::allocator_traits<std::allocator<std::_Fwd_list_node<std::pair<dstringt, irept> > > >::deallocate(std::allocator<std::_Fwd_list_node<std::pair<dstringt, irept> > >&, std::_Fwd_list_no...
     2.20%     0.00%  cbmc     cbmc                     [.] std::_Vector_base<irept, std::allocator<irept> >::~_Vector_base() (inlined)
     2.19%     0.00%  cbmc     cbmc                     [.] std::_Vector_base<irept, std::allocator<irept> >::_M_deallocate(irept*, unsigned long) (inlined)
     2.18%     0.03%  cbmc     cbmc                     [.] simplify_exprt::simplify_index_preorder(index_exprt const&)
     2.17%     0.00%  cbmc     cbmc                     [.] std::__new_allocator<irept>::deallocate(irept*, unsigned long) (inlined)
     2.17%     0.00%  cbmc     cbmc                     [.] std::allocator_traits<std::allocator<irept> >::deallocate(std::allocator<irept>&, irept*, unsigned long) (inlined)
     2.14%     2.14%  cbmc     cbmc                     [.] hash_string(char const*)
     2.04%     0.01%  cbmc     cbmc                     [.] goto_symext::symex_goto(goto_symex_statet&)
     1.99%     0.00%  cbmc     cbmc                     [.] std::__cxx11::_List_base<SSA_stept, std::allocator<SSA_stept> >::_M_put_node(std::_List_node<SSA_stept>*) (inlined)
     1.99%     0.00%  cbmc     cbmc                     [.] std::__new_allocator<std::_List_node<SSA_stept> >::deallocate(std::_List_node<SSA_stept>*, unsigned long) (inlined)
     1.99%     0.00%  cbmc     cbmc                     [.] std::allocator_traits<std::allocator<std::_List_node<SSA_stept> > >::deallocate(std::allocator<std::_List_node<SSA_stept> >&, std::_List_node<SSA_stept>*, unsigned long) (inlined)
     1.98%     0.16%  cbmc     cbmc                     [.] std::__detail::_Map_base<string_ptrt, std::pair<string_ptrt const, unsigned int>, std::allocator<std::pair<string_ptrt const, unsigned int> >, std::__detail::_Select1st, std::equal_to<str...
     1.95%     0.70%  cbmc     cbmc                     [.] symex_slicet::slice_assignment(SSA_stept&)
     1.86%     0.06%  cbmc     cbmc                     [.] member_exprt::member_exprt(exprt, dstringt const&, typet)
     1.80%     0.04%  cbmc     cbmc                     [.] SSA_assignment_stept::SSA_assignment_stept(symex_targett::sourcet, exprt, ssa_exprt, exprt, exprt, exprt, symex_targett::assignment_typet)
     1.75%     0.16%  cbmc     cbmc                     [.] irept::remove(dstringt const&)
     1.69%     0.34%  cbmc     cbmc                     [.] simplify_exprt::simplify_node(exprt const&)
     1.63%     0.00%  cbmc     libc.so.6                [.] 0x00007d487b2a9afd
     1.63%     0.03%  cbmc     cbmc                     [.] value_sett::update_entry(value_sett::entryt const&, typet const&, reference_counting<std::map<unsigned long, std::optional<exprt>, std::less<unsigned long>, std::allocator<std::pair<unsig...
     1.63%     1.63%  cbmc     libc.so.6                [.] 0x00000000000a9afd
     1.61%     0.69%  cbmc     cbmc                     [.] std::_Hashtable<irept, irept, std::allocator<irept>, std::__detail::_Identity, std::equal_to<irept>, irep_hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std...
     1.61%     0.00%  cbmc     cbmc                     [.] merge_irept::~merge_irept() (inlined)
     1.61%     0.00%  cbmc     cbmc                     [.] std::_Hashtable<irept, irept, std::allocator<irept>, std::__detail::_Identity, std::equal_to<irept>, irep_hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std...
     1.61%     0.00%  cbmc     cbmc                     [.] std::unordered_set<irept, irep_hash, std::equal_to<irept>, std::allocator<irept> >::~unordered_set() (inlined)
     1.59%     0.00%  cbmc     cbmc                     [.] std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<irept, true> > >::_M_deallocate_nodes(std::__detail::_Hash_node<irept, true>*) (inlined)
     1.58%     0.00%  cbmc     cbmc                     [.] std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<irept, true> > >::_M_deallocate_node(std::__detail::_Hash_node<irept, true>*) (inlined)
     1.55%     1.55%  cbmc     libc.so.6                [.] 0x00000000000a9c06
     1.55%     0.00%  cbmc     libc.so.6                [.] 0x00007d487b2a9c06
     1.53%     0.00%  cbmc     libc.so.6                [.] 0x00007d487b2a9c61
     1.53%     1.53%  cbmc     libc.so.6                [.] 0x00000000000a9c61
     1.51%     0.00%  cbmc     libc.so.6                [.] exit
     1.51%     0.00%  cbmc     libc.so.6                [.] 0x00007d487b22a1d0
     1.51%     0.00%  cbmc     libc.so.6                [.] 0x00007d487b247a75
     1.50%     0.00%  cbmc     cbmc                     [.] goto_symext::symex_decl(goto_symex_statet&, symbol_exprt const&)
     1.48%     0.86%  cbmc     cbmc                     [.] string_containert::~string_containert()
     1.48%     0.02%  cbmc     cbmc                     [.] from_integer(BigInt const&, typet const&)
     1.45%     0.79%  cbmc     cbmc                     [.] irept::add(dstringt const&, irept)
     1.38%     0.02%  cbmc     cbmc                     [.] simplify_exprt::simplify_member_preorder(member_exprt const&)
     1.32%     0.02%  cbmc     cbmc                     [.] ssa_exprt::remove_level_2()
     1.31%     0.00%  cbmc     cbmc                     [.] irept::~irept() (inlined)
     1.31%     0.00%  cbmc     cbmc                     [.] sharing_treet<irept, forward_list_as_mapt<dstringt, irept> >::~sharing_treet() (inlined)
     1.31%     0.00%  cbmc     cbmc                     [.] void std::__new_allocator<std::__detail::_Hash_node<irept, true> >::destroy<irept>(irept*) (inlined)
     1.31%     0.00%  cbmc     cbmc                     [.] void std::allocator_traits<std::allocator<std::__detail::_Hash_node<irept, true> > >::destroy<irept>(std::allocator<std::__detail::_Hash_node<irept, true> >&, irept*) (inlined)
     1.31%     0.01%  cbmc     cbmc                     [.] renamedt<ssa_exprt, (levelt)1> goto_symex_statet::rename_ssa<(levelt)1>(ssa_exprt, namespacet const&)
     1.29%     0.20%  cbmc     cbmc                     [.] irept::irept(dstringt const&, forward_list_as_mapt<dstringt, irept> const&, std::vector<irept, std::allocator<irept> > const&)
     1.25%     0.01%  cbmc     cbmc                     [.] goto_symext::symex_function_call_symbol(std::function<goto_functiont const& (dstringt const&)> const&, goto_symex_statet&, exprt const&, symbol_exprt const&, std::vector<exprt, std::alloc...
     1.23%     0.04%  cbmc     cbmc                     [.] symex_level2t::increase_generation(dstringt const&, ssa_exprt const&, std::function<unsigned long (dstringt const&)>)
     1.23%     0.00%  cbmc     libc.so.6                [.] 0x00007d487b2a9d2a
     1.19%     1.17%  cbmc     cbmc                     [.] std::_Hashtable<string_ptrt, std::pair<string_ptrt const, unsigned int>, std::allocator<std::pair<string_ptrt const, unsigned int> >, std::__detail::_Select1st, std::equal_to<string_ptrt>...
     1.17%     1.15%  cbmc     cbmc                     [.] sharing_mapt<dstringt, std::pair<ssa_exprt, unsigned long>, false, std::hash<dstringt>, std::equal_to<dstringt> >::get_leaf_node(dstringt const&) const
     1.16%     1.16%  cbmc     cbmc                     [.] std::_Hashtable<dstringt, std::pair<dstringt const, symbolt>, std::allocator<std::pair<dstringt const, symbolt> >, std::__detail::_Select1st, std::equal_to<dstringt>, std::hash<dstringt>,...
     1.12%     0.02%  cbmc     cbmc                     [.] integer2bvrep(BigInt const&, unsigned long)
     1.12%     0.29%  cbmc     libstdc++.so.6.0.33      [.] std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::overflow(int)
     1.11%     0.01%  cbmc     cbmc                     [.] equal_exprt::equal_exprt(exprt, exprt)
     1.09%     0.03%  cbmc     cbmc                     [.] remove_level_2(ssa_exprt)
     1.04%     0.12%  cbmc     libstdc++.so.6.0.33      [.] std::basic_ios<char, std::char_traits<char> >::init(std::basic_streambuf<char, std::char_traits<char> >*)
     1.03%     0.13%  cbmc     cbmc                     [.] value_sett::get_index_of_symbol(dstringt, typet const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, namespacet const&) const


#
# (Cannot load tips.txt file, please install perf!)
#
