# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 36K of event 'cycles:u'
# Event count (approx.): 111392896531
#
# Children      Self  Command  Shared Object            Symbol                                                                                                                                                                                         ...
# ........  ........  .......  .......................  ..................................................................................................................................................................................................
#
     1.70%     0.14%  cbmc     cbmc                     [.] irept::remove(dstringt const&)
     1.66%     0.04%  cbmc     cbmc                     [.] member_exprt::member_exprt(exprt, dstringt const&, typet)
     1.63%     0.73%  cbmc     cbmc                     [.] std::_Hashtable<irept, irept, std::allocator<irept>, std::__detail::_Identity, std::equal_to<irept>, irep_hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std...
     1.63%     0.00%  cbmc     cbmc                     [.] merge_irept::~merge_irept() (inlined)
     1.63%     0.00%  cbmc     cbmc                     [.] std::_Hashtable<irept, irept, std::allocator<irept>, std::__detail::_Identity, std::equal_to<irept>, irep_hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std...
     1.63%     0.00%  cbmc     cbmc                     [.] std::unordered_set<irept, irep_hash, std::equal_to<irept>, std::allocator<irept> >::~unordered_set() (inlined)
     1.61%     0.00%  cbmc     cbmc                     [.] std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<irept, true> > >::_M_deallocate_nodes(std::__detail::_Hash_node<irept, true>*) (inlined)
     1.61%     0.00%  cbmc     cbmc                     [.] std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<irept, true> > >::_M_deallocate_node(std::__detail::_Hash_node<irept, true>*) (inlined)
     1.56%     0.00%  cbmc     libc.so.6                [.] 0x000070e7b46a9afd
     1.56%     1.56%  cbmc     libc.so.6                [.] 0x00000000000a9afd
     1.50%     0.00%  cbmc     libc.so.6                [.] exit
     1.50%     0.00%  cbmc     libc.so.6                [.] 0x000070e7b462a1d0
     1.50%     0.00%  cbmc     libc.so.6                [.] 0x000070e7b4647a75
     1.47%     0.83%  cbmc     cbmc                     [.] string_containert::~string_containert()
     1.46%     0.00%  cbmc     cbmc                     [.] goto_symext::symex_decl(goto_symex_statet&, symbol_exprt const&)
     1.41%     1.41%  cbmc     libc.so.6                [.] 0x00000000000a9c61
     1.41%     0.00%  cbmc     libc.so.6                [.] 0x000070e7b46a9c61
     1.39%     0.07%  cbmc     cbmc                     [.] symex_level2t::increase_generation(dstringt const&, ssa_exprt const&, std::function<unsigned long (dstringt const&)>)
     1.39%     0.02%  cbmc     cbmc                     [.] simplify_exprt::simplify_member_preorder(member_exprt const&)
     1.37%     0.80%  cbmc     cbmc                     [.] irept::add(dstringt const&, irept)
     1.36%     0.01%  cbmc     cbmc                     [.] from_integer(BigInt const&, typet const&)
     1.36%     0.00%  cbmc     cbmc                     [.] irept::~irept() (inlined)
     1.36%     0.00%  cbmc     cbmc                     [.] sharing_treet<irept, forward_list_as_mapt<dstringt, irept> >::~sharing_treet() (inlined)
     1.36%     0.00%  cbmc     cbmc                     [.] void std::__new_allocator<std::__detail::_Hash_node<irept, true> >::destroy<irept>(irept*) (inlined)
     1.36%     0.00%  cbmc     cbmc                     [.] void std::allocator_traits<std::allocator<std::__detail::_Hash_node<irept, true> > >::destroy<irept>(std::allocator<std::__detail::_Hash_node<irept, true> >&, irept*) (inlined)
     1.35%     0.00%  cbmc     cbmc                     [.] goto_symext::symex_function_call_symbol(std::function<goto_functiont const& (dstringt const&)> const&, goto_symex_statet&, exprt const&, symbol_exprt const&, std::vector<exprt, std::alloc...
     1.31%     0.02%  cbmc     cbmc                     [.] renamedt<ssa_exprt, (levelt)1> goto_symex_statet::rename_ssa<(levelt)1>(ssa_exprt, namespacet const&)
     1.25%     0.01%  cbmc     cbmc                     [.] ssa_exprt::remove_level_2()
     1.21%     0.00%  cbmc     libc.so.6                [.] 0x000070e7b46a9d2a
     1.19%     1.16%  cbmc     cbmc                     [.] std::_Hashtable<string_ptrt, std::pair<string_ptrt const, unsigned int>, std::allocator<std::pair<string_ptrt const, unsigned int> >, std::__detail::_Select1st, std::equal_to<string_ptrt>...
     1.17%     1.17%  cbmc     cbmc                     [.] std::_Hashtable<dstringt, std::pair<dstringt const, symbolt>, std::allocator<std::pair<dstringt const, symbolt> >, std::__detail::_Select1st, std::equal_to<dstringt>, std::hash<dstringt>,...
     1.13%     1.12%  cbmc     cbmc                     [.] sharing_mapt<dstringt, std::pair<ssa_exprt, unsigned long>, false, std::hash<dstringt>, std::equal_to<dstringt> >::get_leaf_node(dstringt const&) const
     1.12%     0.36%  cbmc     libstdc++.so.6.0.33      [.] std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::overflow(int)
     1.09%     0.11%  cbmc     cbmc                     [.] value_sett::get_index_of_symbol(dstringt, typet const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, namespacet const&) const
     1.07%     0.17%  cbmc     cbmc                     [.] irept::irept(dstringt const&, forward_list_as_mapt<dstringt, irept> const&, std::vector<irept, std::allocator<irept> > const&)
