# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:u'
# Event count (approx.): 21782062763
#
# Children      Self  Command  Shared Object                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ........  .......  .....................................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     1.08%     0.00%  cvc5     cvc5                                   [.] 0x0000000001a29db9
     1.03%     0.01%  cbmc     cbmc                                   [.] update_identifier(ssa_exprt&)
     1.02%     0.00%  cbmc     [unknown]                              [.] 0xaaed9d7e7232efff
     1.02%     0.00%  cbmc     cbmc                                   [.] guard variable for sharing_treet<irept, forward_list_as_mapt<dstringt, irept> >::empty_d+0x7
     1.01%     0.00%  cbmc     cbmc                                   [.] std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >*) (inlined)
     1.01%     0.00%  cbmc     cbmc                                   [.] std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>::~pair() (inlined)
     1.01%     0.00%  cbmc     cbmc                                   [.] void std::__new_allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::destroy<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>*) (inlined)
     1.01%     0.00%  cbmc     cbmc                                   [.] void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > > >::destroy<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >(std::allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >&, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>*) (inlined)
     1.00%     0.00%  cbmc     cbmc                                   [.] smt2_convt::prepare_for_convert_expr(exprt const&)
     1.00%     0.00%  cbmc     cbmc                                   [.] all_properties_verifier_with_trace_storaget<multi_path_symex_checkert>::~all_properties_verifier_with_trace_storaget()
     1.00%     0.00%  cbmc     cbmc                                   [.] multi_path_symex_checkert::~multi_path_symex_checkert() (inlined)
     0.99%     0.00%  cvc5     cvc5                                   [.] 0x00000000018162ba
     0.99%     0.14%  cbmc     cbmc                                   [.] smt2_convt::find_symbols(exprt const&)
     0.98%     0.01%  python3  python3.12                             [.] PyObject_Vectorcall
     0.97%     0.00%  cbmc     cbmc                                   [.] jsont::~jsont() (inlined)
     0.95%     0.06%  cbmc     cbmc                                   [.] build_identifier(exprt const&, dstringt const&, dstringt const&, dstringt const&)
     0.90%     0.00%  cbmc     cbmc                                   [.] field_sensitivityt::field_assignments_rec(namespacet const&, goto_symex_statet&, exprt const&, exprt const&, symex_targett&, bool) const
     0.90%     0.00%  python3  python3.12                             [.] Py_FinalizeEx
     0.88%     0.00%  cbmc     cbmc                                   [.] tree_nodet<irept, forward_list_as_mapt<dstringt, irept>, true>::~tree_nodet() (inlined)
     0.87%     0.00%  cvc5     cvc5                                   [.] 0x0000000001a27e12
     0.85%     0.00%  cbmc     libc.so.6                              [.] 0x0000706ad00aada4
     0.82%     0.00%  cbmc     cbmc                                   [.] symex_assignt::assign_rec(exprt const&, expr_skeletont const&, exprt const&, std::vector<exprt, std::allocator<exprt> >&)
     0.80%     0.00%  cbmc     cbmc                                   [.] goto_symext::symex_assign(goto_symex_statet&, exprt const&, exprt const&)
     0.80%     0.01%  cbmc     cbmc                                   [.] symex_assignt::assign_non_struct_symbol(ssa_exprt const&, expr_skeletont const&, exprt const&, std::vector<exprt, std::allocator<exprt> > const&)
     0.80%     0.00%  cbmc     cbmc                                   [.] multi_path_symex_only_checkert::~multi_path_symex_only_checkert()
     0.80%     0.00%  cbmc     cbmc                                   [.] symex_target_equationt::~symex_target_equationt() (inlined)
     0.80%     0.24%  cbmc     libstdc++.so.6.0.33                    [.] std::istream::read(char*, long)
     0.79%     0.00%  cvc5     cvc5                                   [.] 0x000000000182eea1
     0.78%     0.11%  cbmc     cbmc                                   [.] jsont::~jsont()
     0.77%     0.00%  cvc5     cvc5                                   [.] 0x00000000018330d4
     0.76%     0.00%  cbmc     cbmc                                   [.] std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::~_Rb_tree() (inlined)
     0.76%     0.00%  cbmc     cbmc                                   [.] std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, jsont, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::~map() (inlined)
     0.73%     0.73%  cbmc     cbmc                                   [.] irept::find(dstringt const&) const
     0.71%     0.71%  cbmc     cbmc                                   [.] std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >* std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::_M_copy<false, std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::_Alloc_node>(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >*, std::_Rb_tree_node_base*, std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::_Alloc_node&) [clone .isra.0]
     0.70%     0.00%  python3  python3.12                             [.] 0x00000000005d39f3
     0.70%     0.00%  cbmc     cbmc                                   [.] forward_list_as_mapt<dstringt, irept>::~forward_list_as_mapt() (inlined)
     0.70%     0.00%  cbmc     cbmc                                   [.] std::_Fwd_list_base<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::_M_erase_after(std::_Fwd_list_node_base*, std::_Fwd_list_node_base*) (inlined)
     0.70%     0.00%  cbmc     cbmc                                   [.] std::_Fwd_list_base<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::~_Fwd_list_base() (inlined)
     0.70%     0.00%  cbmc     cbmc                                   [.] std::forward_list<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::~forward_list() (inlined)
     0.69%     0.00%  cbmc     cbmc                                   [.] void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) (inlined)
     0.69%     0.00%  cbmc     cbmc                                   [.] irept::~irept() (inlined)
     0.69%     0.00%  cbmc     cbmc                                   [.] sharing_treet<irept, forward_list_as_mapt<dstringt, irept> >::~sharing_treet() (inlined)
     0.64%     0.00%  cvc5     cvc5                                   [.] 0x0000000001a293f4
     0.63%     0.00%  cbmc     cbmc                                   [.] std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::~_Rb_tree() (inlined)
     0.63%     0.00%  cbmc     cbmc                                   [.] std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, jsont, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::~map() (inlined)
     0.63%     0.14%  cbmc     libstdc++.so.6.0.33                    [.] std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     0.63%     0.00%  cvc5     cvc5                                   [.] 0x000000000180704b
     0.62%     0.00%  cvc5     cvc5                                   [.] 0x0000000001a293ca
     0.61%     0.00%  python3  python3.12                             [.] Py_InitializeFromConfig
     0.60%     0.00%  cvc5     cvc5                                   [.] 0x0000000000656621
     0.60%     0.00%  cvc5     cvc5                                   [.] 0x0000000000733bf9
     0.60%     0.00%  cvc5     cvc5                                   [.] 0x0000000000733e21
     0.60%     0.00%  cvc5     cvc5                                   [.] 0x00000000017def04
     0.60%     0.00%  python3  python3.12                             [.] 0x00000000006bca34
     0.59%     0.01%  cbmc     cbmc                                   [.] goto_symext::phi_function(goto_statet const&, goto_symex_statet&)
     0.59%     0.00%  cbmc     cbmc                                   [.] goto_symext::merge_goto(symex_targett::sourcet const&, goto_statet&&, goto_symex_statet&)
     0.59%     0.03%  python3  python3.12                             [.] _PyObject_MakeTpCall
     0.59%     0.00%  cvc5     cvc5                                   [.] 0x000000000074046c
     0.59%     0.00%  cvc5     cvc5                                   [.] 0x0000000000740ef2
     0.59%     0.00%  cvc5     cvc5                                   [.] 0x00000000007442db
     0.59%     0.00%  cvc5     cvc5                                   [.] 0x0000000000cf739d
     0.59%     0.00%  cvc5     cvc5                                   [.] 0x0000000000e2006b
     0.59%     0.00%  cvc5     cvc5                                   [.] 0x0000000000e31f46
     0.59%     0.00%  cvc5     cvc5                                   [.] 0x0000000000e3259a
     0.58%     0.00%  python3  python3.12                             [.] 0x00000000006bc964
     0.58%     0.01%  cbmc     cbmc                                   [.] build_ssa_identifier_rec(exprt const&, dstringt const&, dstringt const&, dstringt const&, std::ostream&, std::ostream&)
     0.57%     0.25%  cbmc     cbmc                                   [.] sharing_treet<irept, forward_list_as_mapt<dstringt, irept> >::detach()
     0.56%     0.00%  cvc5     cvc5                                   [.] 0x0000000001677c51
     0.55%     0.00%  cvc5     cvc5                                   [.] 0x0000000001a2ba69
     0.54%     0.00%  cbmc     cbmc                                   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) (inlined)
     0.54%     0.00%  cbmc     cbmc                                   [.] symex_assignt::assign_from_struct(ssa_exprt const&, expr_skeletont const&, struct_exprt const&, std::vector<exprt, std::allocator<exprt> > const&)
     0.54%     0.00%  python3  python3.12                             [.] 0x00000000006bd348
     0.53%     0.00%  python3  libc.so.6                              [.] 0x00007ce03aa2a1c9
     0.52%     0.00%  python3  python3.12                             [.] PyObject_CallFunction
     0.51%     0.00%  cbmc     cbmc                                   [.] std::__cxx11::_List_base<SSA_stept, std::allocator<SSA_stept> >::_M_clear()
     0.51%     0.00%  cbmc     cbmc                                   [.] std::__cxx11::_List_base<SSA_stept, std::allocator<SSA_stept> >::~_List_base() (inlined)
     0.51%     0.00%  cbmc     cbmc                                   [.] std::__cxx11::list<SSA_stept, std::allocator<SSA_stept> >::~list() (inlined)
     0.51%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a1fcfe
     0.50%     0.00%  cbmc     cbmc                                   [.] std::vector<irept, std::allocator<irept> >::~vector() (inlined)


#
# (Cannot load tips.txt file, please install perf!)
#
