# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 67K of event 'cycles:u'
# Event count (approx.): 200142690850
#
# Children      Self  Command  Shared Object                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ........  .......  .....................................  ..................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     1.88%     1.88%  cvc5     cvc5                                   [.] 0x0000000000684b25
     1.88%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a84b25
     1.85%     0.00%  cvc5     cvc5                                   [.] 0x0000000001703342
     1.85%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a83d50
     1.83%     0.00%  python3  python3.12                             [.] Py_BytesMain
     1.83%     0.00%  python3  libc.so.6                              [.] __libc_start_main
     1.83%     0.00%  python3  python3.12                             [.] _start
     1.79%     0.00%  python3  python3.12                             [.] Py_RunMain
     1.77%     0.00%  cvc5     cvc5                                   [.] 0x000000000135359a
     1.77%     1.41%  python3  python3.12                             [.] _PyEval_EvalFrameDefault
     1.76%     0.00%  python3  python3.12                             [.] PyEval_EvalCode
     1.75%     0.00%  cvc5     cvc5                                   [.] 0x000000000090add1
     1.73%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a03863
     1.72%     0.00%  python3  python3.12                             [.] PyRun_StringFlags
     1.70%     0.00%  python3  python3.12                             [.] PyRun_SimpleStringFlags
     1.70%     0.00%  cvc5     cvc5                                   [.] 0x000000000090a9c1
     1.69%     0.00%  cvc5     cvc5                                   [.] 0x00000000008ff21f
     1.67%     0.00%  cvc5     cvc5                                   [.] 0x0000000001071f82
     1.66%     0.00%  cvc5     cvc5                                   [.] 0x000000000141990c
     1.65%     1.65%  cvc5     cvc5                                   [.] 0x0000000001027601
     1.65%     0.00%  cvc5     cvc5                                   [.] 0x0000000001427601
     1.64%     0.00%  cvc5     cvc5                                   [.] 0x00000000008ff117
     1.62%     0.00%  cvc5     cvc5                                   [.] 0x00000000008ffe67
     1.56%     0.00%  cvc5     cvc5                                   [.] 0x00000000009067cc
     1.55%     1.55%  cvc5     cvc5                                   [.] 0x0000000001496eda
     1.55%     0.00%  cvc5     cvc5                                   [.] 0x0000000001896eda
     1.47%     0.00%  cvc5     cvc5                                   [.] 0x0000000000812554
     1.47%     1.47%  cvc5     cvc5                                   [.] 0x0000000000412554
     1.47%     1.47%  cvc5     cvc5                                   [.] 0x0000000000412568
     1.47%     0.00%  cvc5     cvc5                                   [.] 0x0000000000812568
     1.46%     0.00%  cvc5     cvc5                                   [.] 0x000000000120d1d8
     1.46%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a84c5f
     1.46%     1.46%  cvc5     cvc5                                   [.] 0x0000000000684c5f
     1.44%     0.00%  cvc5     cvc5                                   [.] 0x00000000018716c6
     1.43%     0.00%  python3  libc.so.6                              [.] 0x00007a45a742a1c9
     1.37%     0.00%  cvc5     cvc5                                   [.] 0x000000000090297f
     1.27%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a8d9ef
     1.27%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a330ee
     1.25%     0.00%  cvc5     cvc5                                   [.] 0x00000000018b8aa1
     1.23%     0.00%  cvc5     cvc5                                   [.] 0x00000000007347b6
     1.20%     0.00%  cvc5     cvc5                                   [.] 0x0000000000812cb2
     1.14%     0.00%  cvc5     cvc5                                   [.] 0x000000000189780f
     1.13%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a0361b
     1.13%     0.00%  cvc5     cvc5                                   [.] 0x00000000010925e1
     1.12%     1.12%  cvc5     cvc5                                   [.] 0x000000000077f0f6
     1.12%     0.00%  cvc5     cvc5                                   [.] 0x0000000000b7f0f6
     1.11%     0.00%  cvc5     cvc5                                   [.] 0x000000000084a98c
     1.10%     0.00%  cvc5     cvc5                                   [.] 0x0000000000df9c81
     1.09%     0.00%  cvc5     cvc5                                   [.] 0x00000000014224a9
     1.08%     1.08%  cvc5     cvc5                                   [.] 0x000000000041256f
     1.08%     0.00%  cvc5     cvc5                                   [.] 0x000000000081256f
     1.08%     0.00%  cvc5     cvc5                                   [.] 0x000000000084acbb
     1.05%     1.05%  cvc5     cvc5                                   [.] 0x0000000000684b0e
     1.05%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a84b0e
     1.04%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a04150
     1.04%     0.00%  cvc5     cvc5                                   [.] 0x000000000078b0e1
     1.04%     1.04%  cvc5     cvc5                                   [.] 0x0000000000684c51
     1.04%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a84c51
     0.99%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a34363
     0.98%     0.00%  cvc5     cvc5                                   [.] 0x0000000000fd8227
     0.96%     0.96%  cvc5     cvc5                                   [.] 0x0000000000677cc4
     0.96%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a77cc4
     0.95%     0.00%  cvc5     cvc5                                   [.] 0x000000000090b2af
     0.93%     0.93%  cvc5     cvc5                                   [.] 0x000000000077f0df
     0.93%     0.00%  cvc5     cvc5                                   [.] 0x0000000000b7f0df
     0.93%     0.00%  cvc5     cvc5                                   [.] 0x000000000084ac8f
