# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5474956437
#
# Children      Self  Command  Shared Object            Symbol                                                                                                                                                                                         ...
# ........  ........  .......  .......................  ..................................................................................................................................................................................................
#
    14.04%     0.00%  cbmc     cbmc                     [.] void std::__new_allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > >::destroy<std::pair<std::__cxx11::b...
    14.04%     0.00%  cbmc     cbmc                     [.] void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, jsont> > > >::destroy<std::pa...
    13.99%     0.00%  cbmc     cbmc                     [.] jsont::~jsont() (inlined)
    13.82%     0.00%  cbmc     cbmc                     [.] symex_assignt::assign_rec(exprt const&, expr_skeletont const&, exprt const&, std::vector<exprt, std::allocator<exprt> >&)
    13.76%     0.00%  cbmc     cbmc                     [.] symex_assignt::assign_non_struct_symbol(ssa_exprt const&, expr_skeletont const&, exprt const&, std::vector<exprt, std::allocator<exprt> > const&)
    13.72%     0.00%  cbmc     cbmc                     [.] std::vector<jsont, std::allocator<jsont> >::~vector() (inlined)
    13.66%     0.00%  cbmc     cbmc                     [.] void std::_Destroy<jsont*, jsont>(jsont*, jsont*, std::allocator<jsont>&) (inlined)
    13.66%     0.00%  cbmc     cbmc                     [.] void std::_Destroy<jsont*>(jsont*, jsont*) (inlined)
    13.66%     0.00%  cbmc     cbmc                     [.] void std::_Destroy<jsont>(jsont*) (inlined)
    13.66%     0.00%  cbmc     cbmc                     [.] void std::_Destroy_aux<false>::__destroy<jsont*>(jsont*, jsont*) (inlined)
    13.55%     0.05%  cbmc     cbmc                     [.] python_convertert::convert()
    13.48%     0.00%  cbmc     cbmc                     [.] python_languaget::resolve_module(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, message_handlert&)
    13.47%     0.00%  cbmc     cbmc                     [.] goto_symext::symex_assign(goto_symex_statet&, exprt const&, exprt const&)
    12.84%     0.00%  cbmc     cbmc                     [.] python_languaget::typecheck(symbol_table_baset&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, message_handlert&)
    12.56%     0.00%  cbmc     cbmc                     [.] prop_conv_solvert::convert(exprt const&)
    11.76%     0.00%  cbmc     cbmc                     [.] prop_conv_solvert::convert_bool(exprt const&)
    11.75%     0.14%  cbmc     cbmc                     [.] boolbvt::convert_bv(exprt const&, std::optional<unsigned long>)
    11.75%     0.00%  cbmc     cbmc                     [.] boolbvt::convert_bitvector(exprt const&)
    11.75%     0.00%  cbmc     cbmc                     [.] boolbvt::convert_equality(equal_exprt const&)
    11.75%     0.00%  cbmc     cbmc                     [.] bv_pointerst::convert_bitvector(exprt const&)
    11.70%     0.00%  cbmc     cbmc                     [.] boolbvt::convert_index(index_exprt const&)
    11.58%     0.14%  cbmc     cbmc                     [.] bv_utilst::equal(std::vector<literalt, std::allocator<literalt> > const&, std::vector<literalt, std::allocator<literalt> > const&)
    11.14%     0.00%  cbmc     cbmc                     [.] main
    11.07%     1.02%  cbmc     cbmc                     [.] satcheck_minisat2_baset<Minisat::Solver>::lcnf(std::vector<literalt, std::allocator<literalt> > const&)
    10.60%     0.00%  cbmc     cbmc                     [.] parse_options_baset::main()
     9.85%     0.00%  cbmc     libc.so.6                [.] __libc_start_main
     9.72%     0.00%  cbmc     cbmc                     [.] _start
     9.14%     0.00%  cbmc     cbmc                     [.] convert_symex_target_equation(symex_target_equationt&, decision_proceduret&, message_handlert&)
     9.14%     0.00%  cbmc     cbmc                     [.] symex_target_equationt::convert(decision_proceduret&)
     9.13%     0.00%  cbmc     cbmc                     [.] std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > co...
     9.13%     0.00%  cbmc     cbmc                     [.] std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, jsont, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > ...
